	DPV0_47	DPV0_48	DPV0_49	DPV0_50	DPV3_47	DPV3_48	DPV3_49	DPV3_50	DPI3_47	DPI3_48	DPI3_49	DPI3_50	DPI6_47	DPI6_48	DPI6_49	DPI6_50	DPI9_47	DPI9_48	DPI9_49	DPI9_50	DPI14_48	DPI14_49	DPI14_50	DPI21_48	DPI21_49	DPI21_50	DPI42_48	DPI42_49	DPI42_50
HDGFL3	22	25	43	26	41	8	35	44	195	84	22	21	3	23	36	37	1	21	33	36	12	25	20	17	15	16	6	26	38
HEPH	15	17	69	32	29	16	72	39	85	80	35	26	236	47	130	57	384	8	105	40	32	123	56	34	40	35	21	33	86
HIF3A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	5	2	0	7	0	0	0	0	0	0	2
HMGB4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGCS1	0	0	0	0	0	0	2	0	0	0	0	0	9	1	3	0	7	0	3	0	0	0	0	0	1	0	0	1	0
HMGN1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
HMGXB4	19	14	28	36	26	6	45	26	14	10	46	17	19	0	15	7	331	9	49	42	18	60	30	32	33	21	17	34	62
HNRNPH2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPH2.1	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	4	0	0	2	0	1	1	1	0	4	0	0	2
HOPX	0	1	1	3	0	1	18	10	89	22	0	2	2	0	1	1	3	0	1	5	0	0	4	0	3	0	0	0	1
HORMAD2	0	0	0	0	2	1	1	0	4	0	0	0	10	2	6	1	20	0	6	1	0	2	1	0	0	0	0	0	0
HOXA11	4	0	11	10	3	4	16	10	8	6	4	7	163	15	112	22	396	3	139	15	2	27	3	0	4	2	2	3	2
HOXB4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
HOXC11	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	8	0	0	1	0	2	1	0	0	0	0	0	0
HOXC8	0	1	0	0	0	0	3	0	0	0	0	0	3	0	2	4	28	1	6	0	0	9	1	0	0	0	1	0	0
HOXD1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
HOXD4	0	0	2	0	0	1	4	0	0	2	4	5	18	3	15	9	26	0	6	2	0	4	1	0	1	0	0	0	0
HPDL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HRASLS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0
HRG	0	0	1	0	0	0	2	1	0	0	0	0	6	0	1	1	9	1	4	0	2	2	0	0	0	0	0	0	0
HSCB	10	8	3	17	14	7	28	13	3	2	28	23	2	1	18	8	229	7	31	26	11	39	21	9	21	13	9	26	43
HSF2BP	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	2
HSFX3	184	158	623	339	393	200	327	395	875	701	403	300	1836	436	1011	503	3531	181	871	500	173	465	367	289	314	234	206	371	565
HYAL4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IAPP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDH3A.1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
IFI44	1	0	0	0	0	0	36	18	212	81	3	3	8	4	11	7	8	0	4	1	0	3	1	0	0	0	0	0	0
IFIH1	2	2	2	1	8	1	20	26	142	49	12	11	8	3	16	8	7	0	3	1	1	1	1	4	4	1	3	4	3
IFIT2	3	0	0	0	0	0	34	41	855	473	6	26	15	4	3	0	11	0	4	1	0	0	1	2	0	0	0	0	2
IGFL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
IGHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
IGKV5.2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLV1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IGLV1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IGLV7.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
IKBKE	0	0	0	0	1	0	0	0	0	2	3	2	0	0	0	0	4	0	1	0	0	2	2	0	0	0	1	0	0
IL13RA2	0	0	0	0	0	0	0	0	1	3	0	0	6	0	1	0	8	0	0	0	1	0	0	1	0	0	0	0	1
IL15	0	0	0	0	2	0	0	1	0	1	0	0	1	1	2	0	3	0	1	0	0	1	0	1	0	0	0	0	0
IL33	0	0	0	0	2	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IL34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
IL9	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0
IMPG2	3	0	0	1	0	0	1	0	2	1	2	1	23	1	10	2	34	1	3	9	1	3	0	0	1	1	0	0	0
INSL3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	4	0	0	0	0	0	0	0
INSL4	0	0	0	2	0	0	0	3	0	0	2	0	21	0	10	3	11	0	5	1	0	0	1	0	0	0	0	1	0
INSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
INSYN2	0	1	2	0	0	0	2	4	2	1	2	0	16	0	1	4	15	0	5	1	0	2	0	1	1	0	0	0	0
INTU	1	0	0	2	0	0	0	0	2	0	0	0	7	1	3	0	17	0	4	0	0	2	0	0	0	0	0	0	1
IQCF3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0
IQCJ	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQGAP1	3	3	1	2	2	0	40	62	257	91	9	7	17	4	10	3	20	0	8	10	1	11	2	0	1	0	0	0	3
IRF1	4	0	2	2	1	0	20	6	95	20	0	1	0	2	0	0	2	0	9	3	0	2	2	3	1	0	1	2	3
IRF2BPL	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	6	0	1	0	0	5	0	0	2	1	0	1	2
ISG20L2.1	2	2	4	3	4	0	4	5	1	1	1	3	4	0	4	1	35	0	6	3	4	12	3	3	8	6	2	5	9
ITPKA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0
JADE3	0	0	1	0	4	0	2	0	1	1	1	0	2	0	1	0	8	0	2	0	1	2	0	0	0	0	0	0	0
JAG1	2	4	9	9	21	2	3	7	4	5	11	6	7	8	7	4	18	7	19	19	4	7	7	7	10	13	5	4	20
JAKMIP2	0	0	2	0	0	0	3	0	0	0	3	0	15	2	5	0	6	0	1	1	0	4	0	0	0	1	0	1	0
JMJD1C	2	2	3	2	0	0	31	53	232	55	6	2	16	5	21	6	15	1	13	14	3	5	10	1	2	1	1	4	6
JPH1	1	0	1	0	1	0	2	0	0	0	2	0	13	0	4	1	4	0	2	0	4	6	0	0	0	0	0	0	0
JPH2	0	0	1	0	0	0	0	0	1	0	1	0	5	0	1	0	11	0	0	0	0	7	1	0	0	0	0	0	0
KCND1	2	0	4	0	0	0	7	1	0	0	1	1	8	0	2	0	38	0	9	0	1	2	0	0	0	2	0	0	0
KCNIP3	0	0	1	1	0	0	0	1	0	0	0	2	2	1	2	2	19	1	3	2	1	1	0	0	0	0	0	0	1
KCNK1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
KCNQ3	0	0	0	1	3	0	1	0	0	0	3	0	7	0	3	0	25	0	7	0	0	1	0	0	0	0	0	0	0
KCNQ4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0
KCTD21	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KCTD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
KHDC3L	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0
KIAA1147	2	2	3	5	13	0	2	9	10	0	4	2	0	2	0	2	2	1	3	3	1	1	6	4	7	6	3	1	17
KIAA1671	0	0	1	0	3	0	1	2	0	0	0	0	1	0	1	0	7	0	1	0	0	5	1	1	0	0	0	0	1
KIF13A	0	0	2	1	1	0	3	7	26	18	3	3	13	2	5	2	18	2	7	8	0	9	2	1	0	1	0	1	0
KIF6	0	1	0	0	0	0	0	0	0	0	1	1	9	0	1	0	4	0	1	3	0	3	0	0	0	0	0	0	0
KLF10	0	0	0	0	0	0	1	3	2	0	0	0	1	1	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC4	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	4	0	0	0	1	6	0	0	2	1	0	0	0
KLHL2	1	0	0	0	0	0	1	1	39	9	0	0	4	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0
KNCN	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KPNA4	0	0	1	0	1	0	2	2	21	3	0	0	5	2	0	0	0	0	0	1	0	2	1	0	0	0	0	3	0
KRT18.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0
KRT34	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0
KRT71	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	1	0	0	4	0	0	0	0	0	0	0
KRTAP19.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP25.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP3.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3MBTL3	0	0	2	0	0	1	11	3	16	6	1	0	14	3	4	2	15	0	4	2	1	4	0	0	0	0	1	1	1
LACTB	0	2	0	0	0	0	4	4	62	10	0	0	6	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0
LASP1	2	0	0	0	0	0	6	11	44	2	0	0	0	1	1	0	7	0	0	1	1	2	3	0	1	0	1	2	2
LCP1	0	0	0	0	0	0	63	38	276	108	3	4	18	8	6	5	9	1	5	6	0	0	1	0	2	1	2	0	0
LEP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
LGALS3	0	0	1	3	0	0	8	3	67	14	1	0	2	0	5	5	0	0	3	1	0	2	0	1	0	1	4	1	2
LHFPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
LIAS	0	0	1	0	2	0	0	0	1	3	0	0	5	0	0	0	2	0	2	1	0	4	0	2	2	1	0	0	7
LIN28A	0	0	5	1	1	1	9	1	7	0	3	3	15	4	14	7	44	0	6	2	1	3	1	2	8	2	0	2	4
LINGO2	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	1	7	0	2	0	0	1	0	0	0	1	0	0	0
LINGO4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LINS1	9	10	11	16	17	1	9	11	5	2	13	4	8	2	9	5	19	3	22	15	8	25	11	6	17	12	6	24	38
LIPI	0	0	0	0	0	0	4	0	1	0	0	0	8	1	1	0	5	0	3	0	1	3	0	0	0	2	0	2	0
LOXL2	0	0	1	0	3	0	0	4	0	0	0	0	4	0	0	1	4	0	0	0	0	4	3	2	1	2	0	0	4
LPAR3	0	0	1	0	0	0	0	0	4	0	0	0	6	0	0	1	6	0	1	0	0	0	1	0	0	0	0	2	1
LPAR4	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
LPGAT1	0	0	0	0	0	0	2	0	26	7	1	0	3	2	5	0	3	0	0	1	0	3	0	0	3	0	0	0	1
LPIN2	23	11	36	25	75	17	25	42	131	58	25	27	14	38	49	14	14	15	21	26	17	20	22	20	24	15	16	31	45
LRCH2	0	0	0	0	1	0	0	0	3	0	0	0	5	2	3	4	1	0	1	0	0	0	0	0	0	0	0	0	0
LRRC28	0	0	0	0	0	0	0	0	3	0	0	1	8	0	0	1	3	0	0	1	0	2	0	0	0	0	0	3	1
LRRC55	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	5	0	1	0	1	0	0	1	0	0	0	0	0
LRRC73	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	5	1	0	1	0	0	1	0
LSM12	2	0	0	5	0	1	10	6	3	5	1	2	17	0	2	5	38	2	7	2	1	2	4	0	1	0	0	0	1
LSM8.1	0	0	0	0	0	0	0	0	13	6	0	0	2	1	1	1	6	0	0	0	0	0	0	0	0	0	2	0	0
LVRN	1	0	1	0	2	1	5	2	0	0	2	1	19	4	14	5	9	0	5	1	2	8	1	0	3	0	0	0	0
LYPD3	0	0	1	0	3	0	1	5	3	0	0	2	1	1	1	1	19	4	16	7	0	4	1	2	2	1	4	0	3
LYPLAL1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0
LYRM4	0	0	0	0	0	0	0	3	8	1	0	0	1	0	1	0	7	0	1	0	0	1	2	0	0	0	0	0	0
LYZ	0	2	1	0	2	2	81	80	516	185	6	5	24	18	11	6	27	0	4	4	2	1	2	0	1	1	0	2	3
LZIC	0	0	0	0	0	0	1	1	10	5	2	0	4	2	6	5	10	0	1	0	1	3	0	0	0	0	0	0	0
MAD2L1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA11	0	0	0	0	0	0	3	0	0	0	0	0	7	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAGEC3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0
MAGED1	1	0	0	0	2	0	6	0	4	0	1	0	10	2	6	2	12	0	2	1	0	2	0	0	2	0	0	1	0
MAGIX	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	3	3
MALL	1	1	1	0	0	0	4	0	0	1	0	0	1	0	0	0	14	0	2	0	1	5	0	0	1	1	0	0	0
MALRD1	0	0	1	0	0	0	2	0	0	0	0	1	19	1	6	8	23	0	2	2	0	3	0	0	0	0	1	0	0
MANEA	0	0	0	1	0	0	3	2	4	4	0	0	7	0	2	1	2	0	0	0	0	0	1	0	0	0	0	0	0
MAP2	1	0	1	0	2	0	0	0	3	0	1	1	14	1	6	3	15	0	4	0	0	1	0	0	0	0	0	1	1
MAP6	37	27	34	37	32	11	45	47	6	1	47	16	1	2	9	17	146	16	59	26	22	101	66	49	82	50	52	81	141
MAP7	0	0	0	0	1	0	0	0	0	0	0	0	9	0	3	0	8	0	2	2	0	0	0	2	0	0	0	0	1
MAP7D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MAP7D2.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MAPRE1	0	0	0	0	0	0	0	3	5	2	0	2	10	0	2	0	6	0	3	0	0	0	0	0	3	0	0	0	0
MARCOL	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAS1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0
MAT2B	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
MB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MBIP	0	0	0	0	0	0	0	0	5	0	0	1	3	1	2	1	3	0	1	0	0	0	0	0	0	0	0	0	1
MBTD1	1	2	2	0	0	0	7	7	38	28	12	7	10	7	7	9	28	1	6	7	1	9	6	4	4	2	3	8	10
MCL1	0	0	1	1	3	0	23	32	210	56	2	1	0	2	1	6	1	0	4	2	4	1	4	0	3	2	1	1	6
MED14	1	0	2	2	5	2	2	6	14	8	2	3	28	7	8	1	27	0	5	4	2	2	0	2	2	1	0	0	3
MEF2B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
MEGF9	0	1	2	2	0	1	13	8	54	10	0	2	17	8	6	2	13	0	2	0	0	0	0	2	2	0	4	4	2
METTL4	0	0	0	0	1	0	2	0	13	2	2	2	9	2	3	1	7	0	4	2	0	1	0	0	1	2	0	0	1
MEX3B	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	4	0	0	0	0	8	0	0	1	1	0	0	1
MFSD8	0	0	1	0	0	0	0	1	4	3	0	1	5	6	6	3	7	0	4	0	0	1	1	0	0	0	0	0	0
MGARP	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0
MIEN1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MINOS1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1
MIR1184.1	3	6	7	1	13	1	6	6	3	3	7	2	0	0	0	0	1	4	12	10	5	16	0	4	10	2	8	11	20
MIR1185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR124.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR1253	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR145	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR181A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
MIR20A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR216B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR222	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
MIR3187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR365A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR365B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR451A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR487B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR500A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
MIR506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
MIR518C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR522	0	0	0	0	0	0	0	1	0	0	0	0	6	0	3	0	14	0	1	0	0	1	0	0	0	0	0	0	0
MIR539	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR548C	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0
MIR592	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR653	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
MIR676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR767	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR7850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
MIR873	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR876	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR891B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR934	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR98	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIRLET7A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIS12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
MIS12.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MITF	0	0	1	0	0	1	6	0	0	0	0	0	17	0	6	0	18	0	4	5	0	5	2	0	1	0	0	0	0
MMP27	36	42	214	99	137	43	123	126	268	160	185	93	799	128	500	180	1576	53	411	218	50	193	127	131	150	98	84	165	334
MNDA	13	5	1	4	2	0	252	187	1579	494	6	13	14	19	5	4	0	4	16	5	1	3	7	1	5	3	1	2	4
MOCOS	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0
MOGAT2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	4	1	0	1	0	1	0	0	0	0	1
MORC4	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	14	0	1	0	0	0	0	0	0	0	0	0	0
MOSMO	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	5	0	1	0	0	3	0	0	0	1	0	1	0
MOSPD1	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MOSPD2	0	0	1	0	0	2	4	8	15	1	0	0	10	0	4	0	14	0	4	0	0	0	1	0	0	2	0	0	1
MOXD1	1	0	2	0	1	2	4	4	6	0	4	2	9	8	8	6	22	2	2	4	0	8	0	0	1	1	0	0	0
MPDZ	1	0	0	0	0	0	0	0	3	0	0	0	18	0	8	1	8	0	2	0	0	0	0	0	0	1	0	0	0
MPPED1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
MRPL18.1	0	0	0	0	0	0	0	0	6	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
MRPL40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MRPL40.2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
MRPL42	0	0	1	0	2	0	0	0	4	10	2	2	0	2	2	2	5	0	0	0	0	1	0	0	0	0	0	0	0
MRPL44	0	0	0	0	0	0	0	3	4	3	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MRPL49	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS17	0	0	0	0	0	0	0	0	4	1	3	1	3	1	2	0	8	0	0	0	2	0	0	0	0	0	0	0	0
MRPS24	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
MRPS33	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
MRTFB	1	0	1	2	1	1	2	1	1	7	0	0	12	4	8	4	11	1	6	0	0	3	0	0	3	0	1	0	0
MS4A6A	29	17	19	30	22	10	55	46	21	9	35	22	20	3	18	14	209	12	68	37	18	88	34	22	36	28	18	44	55
MT.ND1.1	0	0	0	0	0	0	2	1	1	0	0	0	7	1	3	2	16	0	5	0	0	2	1	0	0	1	0	2	0
MT1B	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
